Gemeinde,Einwohner,Aerztliche_Fachgebietseintraege,Psychotherapie,Zahnaerztliche_Personen,Oeffentliche_Apotheken,Heilmittelpraxen,Pflegeeinrichtungen_Dienste,Krankenhaus_Reha_Hospiz,Erhebungsstatus
Adelschlag,2981,0,1,0,0,0,0,0,vollständig
Altmannstein,7195,3,0,0,1,2,3,0,vollständig
Beilngries,10242,37,1,4,2,13,4,0,vollständig
Böhmfeld,1697,0,1,0,0,0,0,0,vollständig
Buxheim,3771,1,1,0,0,1,1,0,vollständig
Denkendorf,5059,5,1,0,1,5,3,0,vollständig
Dollnstein,2850,1,1,1,1,1,0,0,vollständig
Egweil,1247,0,0,0,0,0,0,0,vollständig
Stadt Eichstätt,14066,78,3,10,4,14,7,1,vollständig
Eitensheim,3030,5,1,0,1,2,0,0,vollständig
Gaimersheim,12526,17,1,3,2,4,5,0,vollständig
Großmehring,7498,3,1,0,1,0,1,0,vollständig
Hepberg,3077,1,1,0,0,2,0,0,vollständig
Hitzhofen,3022,0,0,0,0,0,0,0,vollständig
Kinding,2600,0,0,0,0,1,0,0,vollständig
Kipfenberg,5835,3,1,2,1,6,1,1,vollständig
Kösching,9737,54,5,1,2,4,1,1,vollständig
Lenting,4980,5,0,2,1,2,0,0,vollständig
Mindelstetten,1822,2,0,0,0,0,0,0,vollständig
Mörnsheim,1523,0,0,0,0,1,0,0,vollständig
Nassenfels,2351,0,0,0,1,0,0,0,vollständig
Oberdolling,1371,0,0,0,0,0,0,0,vollständig
Pförring,4100,1,0,1,1,0,1,0,vollständig
Pollenfeld,3051,1,1,0,0,1,0,0,vollständig
Schernfeld,3285,1,0,0,0,1,0,0,vollständig
Stammham,4159,2,2,0,0,1,0,0,vollständig
Titting,2688,1,2,0,1,1,1,0,vollständig
Walting,2289,0,0,0,0,0,0,0,vollständig
Wellheim,2725,4,1,1,0,0,0,0,vollständig
Wettstetten,5205,8,0,1,1,1,0,0,vollständig
