Gemeinde,Einwohner,Flaeche_km2,Einwohner_je_km2,Gemeindeart,Verwaltungsgemeinschaft,Ortsteile,Rathaus,Website,Bearbeiter,Letzte_Pruefung,Erhebungsstatus,Allgemeinmedizin,Praktische_Aerzte,Innere_Medizin,Kinder_Jugendmedizin,Frauenheilkunde,HNO,Augenheilkunde,Hautkrankheiten,Orthopaedie,Chirurgie,Neurologie,Psychiatrie_Psychotherapie,Urologie,Anaesthesiologie,Radiologie,Weitere_Fachgebiete,Psychologische_Psychotherapie,Kinder_Jugendlichenpsychotherapie,Zahnaerzte,Kieferorthopaedie,Oeffentliche_Apotheken,Physiotherapie,Ergotherapie,Logopadie_Sprachtherapie,Podologie,Ernaehrungstherapie,Ambulante_Pflegedienste,Vollstationaere_Pflege,Tagespflege,Kurzzeitpflege,Krankenhausstandorte,Rehabilitationseinrichtungen,Stationaere_Hospize,Bemerkung,Summe_Aerztliche_Fachgebietseintraege,Summe_Psychotherapie,Summe_Zahnaerztliche_Personen,Zahnaerztliche_Personen,Summe_Heilmittelpraxen,Summe_Pflegeeinrichtungen_Dienste,Summe_Krankenhaus_Reha_Hospiz
Adelschlag,2981,51.98,57.35,Gemeinde,VG Nassenfels,"Ochsenfeld, Pietenfeld, Möckenlohe, Adelschlag, Fasanerie, Moritzbrunn, Prielhof, Tempelhof, Untermöckenlohe, Waldhütte, Weißenkirchen, Wittenfeld, Ziegelhütte","Schulstraße 9, 85128 Nassenfels",https://www.adelschlag.de,JZ,12.08.2026,vollständig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
Altmannstein,7195,114.18,63.01,Markt,keine,"Althexenagger, Altmannstein, Berghausen, Biber, Breitenhill, Bruckhof, Hagenhill, Hexenagger, Mendorf, Neuenhinzenhausen, Pondorf, Sandersdorf, Schamhaupten, Steinsdorf, Tettenwang u.a.","Marktplatz 4, 93336 Altmannstein",https://www.altmannstein.de,JZ,12.08.2026,vollständig,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,Fachstelle für pflegende Angehörige Hagenhill vorhanden,3,0,0,0,2,3,0
Beilngries,10242,100.07,102.35,Stadt,keine,"Beilngries, Amtmannsdorf, Arnbuch, Aschbuch, Biberbach, Eglofsdorf, Grampersdorf, Hirschberg, Irfersdorf, Kottingwörth, Neuzell, Paulushofen, Wolfsbuch u.a.","Hauptstraße 24, 92339 Beilngries",https://www.beilngries.de,JZ,12.08.2026,vollständig,8,3,3,4,6,1,7,1,3,0,0,0,1,0,0,0,1,0,3,1,2,5,3,4,1,0,1,1,1,1,0,0,0,Kieferorthopädie auf AOK Arztsuche,37,1,4,4,13,4,0
Böhmfeld,1697,16.27,104.3,Gemeinde,VG Eitensheim,Böhmfeld,"Eichstätter Straße 8, 85117 Eitensheim",https://www.boehmfeld.eu,JZ,12.08.2026,vollständig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psychotherapie auf AOK Arztsuche,0,1,0,0,0,0,0
Buxheim,3771,22.53,167.38,Gemeinde,keine,"Buxheim, Moosbauer, Moosmühle, Hessenhof, Reinboldsmühle, Tauberfeld","Dorfplatz 2, 85114 Buxheim",https://www.buxheim.eu,JZ,12.08.2026,vollständig,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,1,1,0,0,1,1,0
Denkendorf,5059,47.84,105.75,Gemeinde,keine,"Altenberg, Denkendorf, Zandt, Schönbrunn, Dörndorf, Bitz, Gelbelsee, Riedelshof, Straßhaus, Straßhäusl","Wassertal 2, 85095 Denkendorf",https://www.gemeinde-denkendorf.de,JZ,12.08.2026,vollständig,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,1,0,0,0,1,1,1,0,0,0,lt. Homepage 1 ZA vorhanden; Registerwert 0 wegen Opt-In,5,1,0,0,5,3,0
Dollnstein,2850,40.51,70.35,Markt,keine,"Dollnstein, Ried, Groppenhof, Obereichstätt, Eberswang, Hagenacker, Breitenfurt, Bubenrother Mühle, Attenbrunner Mühle, Ziegelhütte","Papst-Viktor-Straße 35, 91795 Dollnstein",https://www.dollnstein.de,JZ,12.08.2026,vollständig,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,0,0
Egweil,1247,9.39,132.8,Gemeinde,VG Nassenfels,"Oberhaidmühle, Unterhaidmühle, Egweil","Schulstraße 9, 85128 Nassenfels",https://www.egweil.de,JZ,16.08.2026,vollständig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Eichstätt (Stadt),14066,47.78,294.39,Große Kreisstadt,keine,"Blumenberg, Eichstätt, Buchenhüll, Häringhof, Lüften, Landershofen, Marienstein, Pietenfeld a.d.L., Rebdorf, Wasserzell, Wimpasing, Ziegelhof, Wintershof","Marktplatz 11, 85072 Eichstätt",https://www.eichstaett.de,JZ,16.08.2026,vollständig,16,0,13,5,3,3,3,2,8,1,4,14,1,1,2,2,3,0,8,2,4,11,2,0,1,0,1,2,2,2,1,0,0,Klinik Eichstätt vorhanden; Geriatrie/Gastroenterologie unter Weitere Fachgebiete; Oralchirurgie bei ZÄ,78,3,10,10,14,7,1
Eitensheim,3030,15.71,192.87,Gemeinde,VG Eitensheim,Eitensheim,"Eichstätter Straße 8, 85117 Eitensheim",https://www.eitensheim.de,JZ,16.08.2026,vollständig,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,5,1,0,0,2,0,0
